ovseed,seed,group
1,1,1
2,1,2
3,1,3
4,1,4
5,2,1
6,2,2
7,2,3
8,2,4
9,3,1
10,3,2
11,3,3
12,3,4
13,4,1
14,4,2
15,4,3
16,4,4
17,5,1
18,5,2
19,5,3
20,5,4
21,6,1
22,6,2
23,6,3
24,6,4
25,7,1
26,7,2
27,7,3
28,7,4
29,8,1
30,8,2
31,8,3
32,8,4
33,9,1
34,9,2
35,9,3
36,9,4
37,10,1
38,10,2
39,10,3
40,10,4
41,11,1
42,11,2
43,11,3
44,11,4
45,12,1
46,12,2
47,12,3
48,12,4
49,13,1
50,13,2
51,13,3
52,13,4
53,14,1
54,14,2
55,14,3
56,14,4
57,15,1
58,15,2
59,15,3
60,15,4
61,16,1
62,16,2
63,16,3
64,16,4
